rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,comments,notes
RGI2000-v7.0-G-05-04862,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04863,1,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04864,3,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04865,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04866,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04867,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04868,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04869,3,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04870,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04871,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04872,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04873,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04874,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-04875,0,LE07_L2SP_004017_19990731_20200918_02_T1_SR_B2,1999-07-31,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
